feature,mean_abs_shap,rank
priors_count,0.10609649995193045,1
charge_degree_F,0.028219127038836556,2
juv_other_count,0.026952320149353625,3
jail_time_days,0.02231739243833148,4
days_b_screening_arrest,0.01986961530331819,5
juv_misd_count,0.010347021863528906,6
c_days_from_compas,0.005512837597357873,7
juv_fel_count,0.005029869135971219,8
age,0.00011267652386796511,9
sex_enc,0.00011132032882945607,10
race_enc,0.00010026461225450624,11
